ven_lati,ven_long,ven_vlrven
'-3.7493236','-38.5517676','R$ 61.30'
'-3.72855','-38.56211','R$ 31.89'
'-3.731217','-38.570819','R$ 52.90'
'-3.723042','-38.56206','R$ 58.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.733627','-38.538545','R$ 31.79'
'-3.744743','-38.55823','R$ 31.79'
'-3.758777','-38.545509','R$ 47.60'
'-3.724213','-38.567248','R$ 58.80'
'-3.7544725','-38.5317294','R$ 119.40'
'-3.724036','-38.549883','R$ 41.80'
'-3.72286','-38.542239','R$ 62.00'
'-3.733373','-38.562841','R$ 30.89'
'-3.742354','-38.536059','R$ 23.89'
'-3.735142','-38.56245','R$ 71.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.767178','-38.535888','R$ 58.70'
'-3.73928','-38.562287','R$ 24.69'
'-3.751776','-38.528959','R$ 149.20'
'-3.7363951','-38.5589898','R$ 80.60'
'-3.731911','-38.576533','R$ 81.20'
'-3.72855','-38.56211','R$ 31.89'
'-3.767178','-38.535888','R$ 54.70'
'-3.738109','-38.555819','R$ 20.89'
'-3.723042','-38.56206','R$ 60.70'
'-3.735879','-38.558603','R$ 52.70'
'-3.73928','-38.562287','R$ 73.80'
'-3.731145','-38.550659','R$ 57.90'
'-3.756559','-38.550007','R$ 56.30'
'-3.725268','-38.563239','R$ 52.80'
'-3.731911','-38.576533','R$ 66.70'
'-3.73416','-38.524237','R$ 92.60'
'-3.738109','-38.555819','R$ 20.89'
'-3.758777','-38.545509','R$ 49.90'
'-3.72286','-38.542239','R$ 62.00'
'-3.726859','-38.555796','R$ 38.80'
'-3.757066','-38.562531','R$ 75.60'
'-3.756931','-38.563015','R$ 99.50'
'-3.73574','-38.55847','R$ 43.60'
'-3.739438','-38.565396','R$ 23.89'
'-3.72855','-38.56211','R$ 31.89'
'-3.767178','-38.535888','R$ 58.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.721047','-38.529712','R$ 37.80'
'-3.757066','-38.562531','R$ 24.69'
'-3.746351','-38.558829','R$ 111.80'
'-3.7544725','-38.5317294','R$ 65.70'
'-3.735142','-38.56245','R$ 72.70'
'-3.758777','-38.545509','R$ 47.80'
'-3.725268','-38.563239','R$ 68.70'
'-3.7355839','-38.5630695','R$ 82.50'
'-3.73574','-38.55847','R$ 43.60'
'-3.731217','-38.570819','R$ 53.80'
'-3.7544725','-38.5317294','R$ 97.70'
'-3.746735','-38.540449','R$ 94.00'
'-3.735306','-38.553155','R$ 85.60'
'-3.724036','-38.549883','R$ 69.70'
'-3.767178','-38.535888','R$ 58.70'
'-3.73574','-38.55847','R$ 57.90'
'-3.757066','-38.562531','R$ 39.70'
'-3.7593347','-38.5699191','R$ 85.60'
'-3.756559','-38.550007','R$ 57.20'
'-3.72842','-38.562057','R$ 31.79'
'-3.73416','-38.524237','R$ 54.80'
'-3.733627','-38.538545','R$ 40.80'
'-3.751776','-38.528959','R$ 199.20'
'-3.738109','-38.555819','R$ 20.89'
'-3.723042','-38.56206','R$ 50.80'
'-3.733386','-38.562832','R$ 23.89'
'-3.746351','-38.558829','R$ 58.40'
'-3.724036','-38.549883','R$ 71.70'
'-3.7355839','-38.5630695','R$ 71.60'
'-3.73928','-38.562287','R$ 59.90'
'-3.725268','-38.563239','R$ 105.60'
'-3.738109','-38.555819','R$ 20.89'
'-3.7493236','-38.5517676','R$ 39.90'
'-3.767178','-38.535888','R$ 43.80'
'-3.73416','-38.524237','R$ 57.30'
'-3.757066','-38.562531','R$ 44.60'
'-3.7363951','-38.5589898','R$ 70.70'
'-3.744743','-38.55823','R$ 47.10'
'-3.734217','-38.537818','R$ 30.89'
'-3.735306','-38.553155','R$ 81.40'
'-3.758777','-38.545509','R$ 47.90'
'-3.731217','-38.570819','R$ 51.90'
'-3.733627','-38.538545','R$ 23.89'
'-3.723042','-38.56206','R$ 60.70'
'-3.73574','-38.55847','R$ 38.80'
'-3.757066','-38.562531','R$ 46.70'
'-3.756931','-38.563015','R$ 110.90'
'-3.742132','-38.554805','R$ 23.89'
'-3.738109','-38.555819','R$ 20.89'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 53.70'
'-3.735306','-38.553155','R$ 70.40'
'-3.757066','-38.562531','R$ 39.70'
'-3.7291','-38.54758','R$ 50.80'
'-3.72855','-38.56211','R$ 31.89'
'-3.733386','-38.562832','R$ 73.70'
'-3.73928','-38.562287','R$ 92.80'
'-3.7593347','-38.5699191','R$ 109.30'
'-3.7544725','-38.5317294','R$ 105.60'
'-3.752724','-38.551467','R$ 55.40'
'-3.724036','-38.549883','R$ 69.70'
'-3.751776','-38.528959','R$ 182.40'
'-3.73574','-38.55847','R$ 53.70'
'-3.731145','-38.550659','R$ 65.70'
'-3.735142','-38.56245','R$ 85.60'
'-3.72286','-38.542239','R$ 62.00'
'-3.731217','-38.570819','R$ 51.90'
'-3.757066','-38.562531','R$ 45.70'
'-3.738109','-38.555819','R$ 20.89'
'-3.767178','-38.535888','R$ 43.80'
'-3.744743','-38.55823','R$ 35.29'
'-3.734848','-38.553266','R$ 43.40'
'-3.73928','-38.562287','R$ 77.80'
'-3.744707','-38.558206','R$ 31.89'
'-3.730362','-38.563572','R$ 68.70'
'-3.732243','-38.553508','R$ 113.40'
'-3.735879','-38.558603','R$ 67.70'
'-3.7278246','-38.547219','R$ 49.80'
'-3.735142','-38.56245','R$ 42.80'
'-3.724213','-38.567248','R$ 23.89'
'-3.738109','-38.555819','R$ 20.89'
'-3.7493236','-38.5517676','R$ 42.40'
'-3.7363951','-38.5589898','R$ 66.70'
'-3.727807','-38.553324','R$ 40.80'
'-3.723042','-38.56206','R$ 65.70'
'-3.73574','-38.55847','R$ 38.80'
'-3.744743','-38.55823','R$ 23.89'
'-3.734217','-38.537818','R$ 38.30'
'-3.733627','-38.538545','R$ 23.89'
'-3.767178','-38.535888','R$ 43.80'
'-3.739438','-38.565396','R$ 74.70'
'-3.738109','-38.555819','R$ 23.89'
'-3.731145','-38.550659','R$ 55.80'
'-3.723705','-38.541582','R$ 47.30'
'-3.725806','-38.533971','R$ 32.79'
'-3.723042','-38.56206','R$ 23.89'
'-3.726859','-38.555796','R$ 47.70'
'-3.746351','-38.558829','R$ 170.70'
'-3.721958','-38.546122','R$ 91.50'
'-3.730563','-38.547759','R$ 45.80'
'-3.72855','-38.56211','R$ 31.89'
'-3.726274','-38.534102','R$ 56.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.7288238','-38.5539283','R$ 24.90'
'-3.731217','-38.570819','R$ 82.80'
'-3.767178','-38.535888','R$ 54.70'
'-3.732243','-38.553508','R$ 76.70'
'-3.733373','-38.562841','R$ 30.89'
'-3.735306','-38.553155','R$ 102.50'
'-3.733411','-38.55941','R$ 33.39'
'-3.732243','-38.553508','R$ 89.80'
'-3.724036','-38.549883','R$ 71.70'
'-3.7544725','-38.5317294','R$ 99.50'
'-3.731217','-38.570819','R$ 63.30'
'-3.742845','-38.530627','R$ 47.30'
'-3.738109','-38.555819','R$ 20.89'
'-3.723042','-38.56206','R$ 23.89'
'-3.742354','-38.536059','R$ 37.80'
'-3.723336','-38.5641','R$ 84.60'
'-3.744743','-38.55823','R$ 53.70'
'-3.7363951','-38.5589898','R$ 70.70'
'-3.751776','-38.528959','R$ 130.50'
'-3.735142','-38.56245','R$ 30.89'
'-3.733386','-38.562832','R$ 103.60'
'-3.725268','-38.563239','R$ 77.70'
'-3.731217','-38.570819','R$ 51.90'
'-3.725806','-38.533971','R$ 32.79'
'-3.73574','-38.55847','R$ 66.90'
'-3.735142','-38.56245','R$ 23.89'
'-3.725268','-38.563239','R$ 23.89'
'-3.734217','-38.537818','R$ 36.60'
'-3.744743','-38.55823','R$ 39.70'
'-3.73574','-38.55847','R$ 71.50'
'-3.731145','-38.550659','R$ 61.70'
'-3.749126','-38.531213','R$ 41.80'
'-3.742132','-38.554805','R$ 37.80'
'-3.731911','-38.576533','R$ 31.79'
'-3.723042','-38.56206','R$ 65.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.739438','-38.565396','R$ 51.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.731911','-38.576533','R$ 45.70'
'-3.734848','-38.553266','R$ 33.29'
'-3.733386','-38.562832','R$ 28.89'
'-3.752724','-38.551467','R$ 130.50'
'-3.746735','-38.540449','R$ 80.60'
'-3.731858','-38.55631','R$ 37.80'
'-3.733411','-38.55941','R$ 33.39'
'-3.731145','-38.550659','R$ 55.80'
'-3.724036','-38.549883','R$ 69.70'
'-3.734848','-38.553266','R$ 23.89'
'-3.73574','-38.55847','R$ 43.60'
'-3.7593347','-38.5699191','R$ 103.30'
'-3.731858','-38.55631','R$ 45.80'
'-3.731217','-38.570819','R$ 47.90'
'-3.735554','-38.563024','R$ 71.70'
'-3.731911','-38.576533','R$ 53.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.7278246','-38.547219','R$ 55.80'
'-3.760534','-38.56701','R$ 64.70'
'-3.7593347','-38.5699191','R$ 79.60'
'-3.735306','-38.553155','R$ 35.79'
'-3.733411','-38.55941','R$ 33.39'
'-3.73574','-38.55847','R$ 85.70'
'-3.725435','-38.553087','R$ 20.89'
'-3.757066','-38.562531','R$ 39.20'
'-3.732243','-38.553508','R$ 39.80'
'-3.731911','-38.576533','R$ 53.70'
'-3.73574','-38.55847','R$ 43.60'
'-3.73928','-38.562287','R$ 27.69'
'-3.7593347','-38.5699191','R$ 65.70'
'-3.7544725','-38.5317294','R$ 127.60'
'-3.735142','-38.56245','R$ 26.69'
'-3.724036','-38.549883','R$ 71.70'
'-3.733627','-38.538545','R$ 73.10'
'-3.723042','-38.56206','R$ 53.70'
'-3.760534','-38.56701','R$ 69.95'
'-3.723705','-38.541582','R$ 47.30'
'-3.725268','-38.563239','R$ 68.70'
'-3.741003','-38.55766','R$ 57.90'
'-3.725435','-38.553087','R$ 44.80'
'-3.757066','-38.562531','R$ 41.70'
'-3.735142','-38.56245','R$ 30.89'
'-3.731911','-38.576533','R$ 23.89'
'-3.738109','-38.555819','R$ 20.89'
'-3.739283','-38.562342','R$ 159.10'
'-3.723705','-38.541582','R$ 47.30'
'-3.733627','-38.538545','R$ 29.79'
'-3.731911','-38.576533','R$ 31.79'
'-3.751776','-38.528959','R$ 232.20'
'-3.726859','-38.555796','R$ 38.80'
'-3.7278246','-38.547219','R$ 55.80'
'-3.7544725','-38.5317294','R$ 102.50'
'-3.757066','-38.562531','R$ 30.89'
'-3.732243','-38.553508','R$ 81.60'
'-3.736187','-38.545863','R$ 41.80'
'-3.724036','-38.549883','R$ 71.70'
'-3.727807','-38.553324','R$ 30.89'
'-3.731911','-38.576533','R$ 61.60'
'-3.73574','-38.55847','R$ 66.70'
'-3.74925','-38.547696','R$ 23.89'
'-3.726274','-38.534102','R$ 91.60'
'-3.725268','-38.563239','R$ 71.50'
'-3.723609','-38.566979','R$ 89.60'
'-3.742845','-38.530627','R$ 47.30'
'-3.72286','-38.542239','R$ 60.10'
'-3.737223','-38.564705','R$ 31.79'
'-3.751776','-38.528959','R$ 149.50'
'-3.73574','-38.55847','R$ 57.90'
'-3.744743','-38.55823','R$ 23.89'
'-3.724036','-38.549883','R$ 41.80'
'-3.72286','-38.542239','R$ 60.10'
'-3.749126','-38.531213','R$ 96.60'
'-3.734848','-38.553266','R$ 40.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.746351','-38.558829','R$ 65.90'
'-3.733411','-38.55941','R$ 33.39'
'-3.738514','-38.542427','R$ 28.89'
'-3.724213','-38.567248','R$ 31.89'
'-3.726859','-38.555796','R$ 38.80'
'-3.731911','-38.576533','R$ 83.50'
'-3.732243','-38.553508','R$ 68.70'
'-3.723042','-38.56206','R$ 69.60'
'-3.735306','-38.553155','R$ 49.70'
'-3.742328','-38.567011','R$ 27.89'
'-3.733627','-38.538545','R$ 23.89'
'-3.731858','-38.55631','R$ 76.70'
'-3.731145','-38.550659','R$ 42.80'
'-3.725268','-38.563239','R$ 91.60'
'-3.725435','-38.553087','R$ 39.80'
'-3.7544725','-38.5317294','R$ 113.40'
'-3.749126','-38.531213','R$ 101.20'
'-3.72286','-38.542239','R$ 60.10'
'-3.733386','-38.562832','R$ 53.80'
'-3.723042','-38.56206','R$ 140.30'
'-3.73574','-38.55847','R$ 57.90'
'-3.723705','-38.541582','R$ 40.80'
'-3.725435','-38.553087','R$ 20.89'
'-3.738109','-38.555819','R$ 20.89'
'-3.735142','-38.56245','R$ 55.80'
'-3.751776','-38.528959','R$ 47.30'
'-3.724036','-38.549883','R$ 56.70'
'-3.7363951','-38.5589898','R$ 66.70'
'-3.731911','-38.576533','R$ 90.50'
'-3.731217','-38.570819','R$ 51.90'
'-3.73574','-38.55847','R$ 43.60'
'-3.731858','-38.55631','R$ 40.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.735554','-38.563024','R$ 116.50'
'-3.733627','-38.538545','R$ 35.79'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 43.80'
'-3.735306','-38.553155','R$ 106.50'
'-3.744743','-38.55823','R$ 31.79'
'-3.735142','-38.56245','R$ 126.60'
'-3.733386','-38.562832','R$ 81.70'
'-3.731858','-38.55631','R$ 23.89'
'-3.752724','-38.551467','R$ 57.90'
'-3.725435','-38.553087','R$ 35.79'
'-3.73574','-38.55847','R$ 43.60'
'-3.738109','-38.555819','R$ 20.89'
'-3.725268','-38.563239','R$ 52.80'
'-3.725825','-38.548942','R$ 93.60'
'-3.725806','-38.533971','R$ 32.79'
'-3.724036','-38.549883','R$ 27.89'
'-3.725268','-38.563239','R$ 45.80'
'-3.723042','-38.56206','R$ 60.70'
'-3.741186','-38.555902','R$ 47.80'
'-3.735306','-38.553155','R$ 57.70'
'-3.731911','-38.576533','R$ 37.80'
'-3.733627','-38.538545','R$ 23.89'
'-3.758777','-38.545509','R$ 45.90'
'-3.757066','-38.562531','R$ 39.20'
'-3.73574','-38.55847','R$ 90.80'
'-3.723705','-38.541582','R$ 40.80'
'-3.7593347','-38.5699191','R$ 61.70'
'-3.738109','-38.555819','R$ 46.80'
'-3.731145','-38.550659','R$ 60.70'
'-3.735306','-38.553155','R$ 60.50'
'-3.731217','-38.570819','R$ 45.90'
'-3.73928','-38.562287','R$ 61.90'
'-3.735142','-38.56245','R$ 30.89'
'-3.739581','-38.56516','R$ 99.85'
'-3.749126','-38.531213','R$ 128.50'
'-3.728131','-38.561952','R$ 34.79'
'-3.74925','-38.547696','R$ 35.79'
'-3.726274','-38.534102','R$ 56.80'
'-3.742354','-38.536059','R$ 59.60'
'-3.732243','-38.553508','R$ 93.50'
'-3.735879','-38.558603','R$ 28.89'
'-3.73574','-38.55847','R$ 57.90'
'-3.7593347','-38.5699191','R$ 69.60'
'-3.7544725','-38.5317294','R$ 110.60'
'-3.733411','-38.55941','R$ 58.10'
'-3.746735','-38.540449','R$ 41.80'
'-3.733627','-38.538545','R$ 23.89'
'-3.723875','-38.567249','R$ 30.89'
'-3.731145','-38.550659','R$ 66.80'
'-3.731217','-38.570819','R$ 77.80'
'-3.751776','-38.528959','R$ 159.20'
'-3.7288238','-38.5539283','R$ 104.50'
'-3.723042','-38.56206','R$ 60.70'
'-3.731911','-38.576533','R$ 82.60'
'-3.73574','-38.55847','R$ 43.60'
'-3.7593347','-38.5699191','R$ 43.80'
'-3.746735','-38.540449','R$ 33.89'
'-3.746735','-38.540449','R$ 41.80'
'-3.731145','-38.550659','R$ 60.70'
'-3.758777','-38.545509','R$ 49.90'
'-3.738109','-38.555819','R$ 20.89'
'-3.741003','-38.55766','R$ 30.89'
'-3.751776','-38.528959','R$ 103.60'
'-3.725268','-38.563239','R$ 72.70'
'-3.749126','-38.531213','R$ 140.40'
'-3.757066','-38.562531','R$ 39.70'
'-3.734848','-38.553266','R$ 23.89'
'-3.73574','-38.55847','R$ 43.60'
'-3.74925','-38.547696','R$ 27.89'
'-3.731145','-38.550659','R$ 42.80'
'-3.731911','-38.576533','R$ 37.80'
'-3.72286','-38.542239','R$ 60.10'
'-3.735879','-38.558603','R$ 40.90'
'-3.723042','-38.56206','R$ 60.70'
'-3.723705','-38.541582','R$ 30.89'
'-3.731858','-38.55631','R$ 86.60'
'-3.733627','-38.538545','R$ 43.20'
'-3.735307','-38.553164','R$ 106.50'
'-3.725435','-38.553087','R$ 35.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.725806','-38.533971','R$ 32.79'
'-3.723042','-38.56206','R$ 64.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.746351','-38.558829','R$ 60.90'
'-3.757066','-38.562531','R$ 76.10'
'-3.733386','-38.562832','R$ 53.80'
'-3.735142','-38.56245','R$ 98.70'
'-3.756559','-38.550007','R$ 53.80'
'-3.739581','-38.56516','R$ 74.70'
'-3.749126','-38.531213','R$ 44.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.723042','-38.56206','R$ 68.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.723609','-38.566979','R$ 82.60'
'-3.736187','-38.545863','R$ 41.80'
'-3.757066','-38.562531','R$ 48.50'
'-3.731145','-38.550659','R$ 60.70'
'-3.731858','-38.55631','R$ 63.70'
'-3.757066','-38.562531','R$ 30.89'
'-3.751776','-38.528959','R$ 179.40'
'-3.72286','-38.542239','R$ 60.10'
'-3.738109','-38.555819','R$ 20.89'
'-3.7593347','-38.5699191','R$ 25.90'
'-3.724036','-38.549883','R$ 41.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.725435','-38.553087','R$ 54.80'
'-3.7544725','-38.5317294','R$ 88.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 110.50'
'-3.734925','-38.561976','R$ 49.90'
'-3.735307','-38.553164','R$ 48.80'
'-3.746351','-38.558829','R$ 65.90'
'-3.733411','-38.55941','R$ 55.30'
'-3.735879','-38.558603','R$ 73.40'
'-3.731911','-38.576533','R$ 59.70'
'-3.734848','-38.553266','R$ 63.60'
'-3.723042','-38.56206','R$ 56.70'
'-3.723894','-38.549495','R$ 60.80'
'-3.744743','-38.55823','R$ 42.20'
'-3.735307','-38.553164','R$ 106.50'
'-3.723875','-38.567249','R$ 30.89'
'-3.731858','-38.55631','R$ 104.50'
'-3.749126','-38.531213','R$ 199.20'
'-3.738109','-38.555819','R$ 20.89'
'-3.730401','-38.532057','R$ 49.80'
'-3.73574','-38.55847','R$ 104.80'
'-3.724213','-38.567248','R$ 31.89'
'-3.725806','-38.533971','R$ 35.29'
'-3.721958','-38.546122','R$ 123.40'
'-3.746351','-38.558829','R$ 53.90'
'-3.724036','-38.549883','R$ 41.80'
'-3.73574','-38.55847','R$ 50.70'
'-3.733386','-38.562832','R$ 81.70'
'-3.7278246','-38.547219','R$ 43.80'
'-3.742845','-38.530627','R$ 58.20'
'-3.7544725','-38.5317294','R$ 89.50'
'-3.733411','-38.55941','R$ 33.39'
'-3.735142','-38.56245','R$ 109.40'
'-3.730348','-38.56373','R$ 40.90'
'-3.731911','-38.576533','R$ 73.60'
'-3.73574','-38.55847','R$ 80.20'
'-3.726859','-38.555796','R$ 38.80'
'-3.751776','-38.528959','R$ 131.00'
'-3.733627','-38.538545','R$ 47.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.725806','-38.533971','R$ 35.29'
'-3.733373','-38.562841','R$ 36.80'
'-3.735307','-38.553164','R$ 67.70'
'-3.725268','-38.563239','R$ 76.60'
'-3.756931','-38.563015','R$ 28.89'
'-3.756931','-38.563015','R$ 104.00'
'-3.738111','-38.527923','R$ 37.80'
'-3.733373','-38.562841','R$ 28.79'
'-3.731911','-38.576533','R$ 57.80'
'-3.748972','-38.562417','R$ 49.40'
'-3.741186','-38.555902','R$ 47.80'
'-3.746351','-38.558829','R$ 46.90'
'-3.725435','-38.553087','R$ 35.79'
'-3.734848','-38.553266','R$ 45.80'
'-3.7493236','-38.5517676','R$ 59.30'
'-3.742132','-38.554805','R$ 23.89'
'-3.725806','-38.533971','R$ 23.89'
'-3.735307','-38.553164','R$ 38.80'
'-3.74925','-38.547696','R$ 27.89'
'-3.7314186','-38.5632872','R$ 49.70'
'-3.724036','-38.549883','R$ 64.70'
'-3.738109','-38.555819','R$ 20.89'
'-3.735554','-38.563024','R$ 57.70'
'-3.746351','-38.558829','R$ 102.60'
'-3.746735','-38.540449','R$ 53.70'
'-3.724036','-38.549883','R$ 57.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.723042','-38.56206','R$ 65.70'
'-3.731911','-38.576533','R$ 74.70'
'-3.74925','-38.547696','R$ 37.80'
'-3.731217','-38.570819','R$ 51.90'
'-3.721958','-38.546122','R$ 61.70'
'-3.746735','-38.540449','R$ 56.70'
'-3.746735','-38.540449','R$ 84.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.7314186','-38.5632872','R$ 20.90'
'-3.758777','-38.545509','R$ 47.60'
'-3.742845','-38.530627','R$ 47.30'
'-3.7544725','-38.5317294','R$ 141.50'
'-3.738109','-38.555819','R$ 20.89'
'-3.757066','-38.562531','R$ 31.79'
'-3.7278246','-38.547219','R$ 55.80'
'-3.758777','-38.545509','R$ 47.60'
'-3.724036','-38.549883','R$ 57.80'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 65.70'
'-3.746351','-38.558829','R$ 65.90'
'-3.741186','-38.555902','R$ 47.80'
